recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,14,A,Intel Corporation,SOC Design Verification Engineer,"Remote, US",indeed,2026-03-30,https://www.indeed.com/viewjob?jk=cde0985ea6ce6fc8,simulation engineer,"hpc, modeling, performance, remote, simulation"
apply_first,14,A,PSC Consulting,"Senior Consultant I, Control Systems (E-Terra)","Remote, US"," indeed, indeed",2026-03-25,https://www.indeed.com/viewjob?jk=1a9aa87fccf53fa1,"simulation engineer, simulation software engineer","distributed, modeling, performance, remote, senior, simulation, systems"
apply_first,13,A,Accelint,Graphic Designer (SoarTech),"Remote, US",indeed,2026-03-30,https://www.indeed.com/viewjob?jk=8cb10bf7b1cf491e,simulation software engineer,"graphics, remote, simulation"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Ngspice) | Remote,,linkedin,2026-03-20,https://www.linkedin.com/jobs/view/4388371065,simulation engineer,"remote, simulation"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Qucs-S) | Remote,,linkedin,2026-03-19,https://www.linkedin.com/jobs/view/4387333048,simulation engineer,"remote, simulation"
apply_first,12,A,Quest Defense,"Software Build, Tools & Infrastructure Engineer","Remote, US"," indeed, indeed",2026-03-30,https://www.indeed.com/viewjob?jk=09de2b4a454d64c7,"simulation engineer, simulation software engineer","modeling, remote, simulation, software"
review,10,A,ASTEC Digital,Simulation Engineer,,linkedin,2026-03-24,https://www.linkedin.com/jobs/view/4388412760,simulation engineer,simulation
review,10,A,Humana,Senior Business Intelligence Engineer - Conversational Channels,"Remote, US",indeed,2026-03-30,https://www.indeed.com/viewjob?jk=6923fe3f912605ed,simulation engineer,"modeling, performance, remote, senior, simulation"
review,8,A,MixRank,"Junior Software Engineer - Remote (Indonesia), Full-Time",,linkedin,2026-03-21,https://www.linkedin.com/jobs/view/4385790880,simulation software engineer,"remote, software"
review,8,A,Redhorse Corporation,Senior ML Engineer,"Remote, US"," indeed, indeed",2026-03-30,https://www.indeed.com/viewjob?jk=517d7a18d488ff1c,"simulation engineer, simulation software engineer","modeling, performance, remote, senior"
low_priority,6,A,Microsoft,Software Engineer,,linkedin,2026-03-18,https://www.linkedin.com/jobs/view/4371847705,simulation software engineer,software
low_priority,6,A,TOTVS,[Tech] Engenharia de Software Backend Júnior - ADVPL (Remoto),"São Paulo, São Paulo, Brazil",linkedin,2026-03-18,https://www.linkedin.com/jobs/view/4385058800,simulation software engineer,software
low_priority,4,A,Mundiale,DEVELOPER LOW-CODE JR,,linkedin,2026-03-23,https://www.linkedin.com/jobs/view/4387524049,simulation software engineer,
low_priority,4,A,Rand Worldwide,FEA Consulting Engineer,,linkedin,2026-03-20,https://www.linkedin.com/jobs/view/4387989309,simulation engineer,
low_priority,4,A,Stellantis,Virtual Analysis Engineer,"Pune Division, Maharashtra, India",linkedin,2026-03-23,https://www.linkedin.com/jobs/view/4388981593,simulation software engineer,
