recommendation,score,tier,company,title,location,sites,posted,compensation,job_url,query_labels,reasons
apply_first,16,B,10x National Security,Senior Software Engineer,"Remote, US",indeed,2026-06-12,"$150,000 - $220,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=6b3f49141bb0c45d,software engineer ai systems,"compliance domain, evals, llm, performance, remote, senior, software, workflow automation"
apply_first,16,A,Buildable Ai,Junior AI Systems Engineer,"Remote, US",indeed,2026-06-10,$20 - $30 hourly source: direct_data,https://www.indeed.com/viewjob?jk=677d88fa3ce84357,ai systems engineer,"ai, llm, remote, systems"
apply_first,16,B,Flock Safety,"Staff Software Engineer, Agents","Remote, US",indeed,2026-06-11,"$200,000 - $220,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=945a5f4007dbea78,software engineer ai systems,"evals, modeling, performance, rag, remote, software, staff, traceability, workflow automation"
apply_first,16,B,micro1,"Software Engineer, Financial Platform","Remote, US",indeed,2026-06-11,"$140,000 - $230,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=9dda4e17d3658df2,software engineer ai systems,"compliance domain, graphics, modeling, performance, remote, software, workflow automation"
apply_first,16,B,micro1,"Software Engineer, micro Platforms","Remote, US",indeed,2026-06-11,"$120,000 - $250,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=01563b373db2ffa3,"software engineer ai systems, software engineer workflow automation","compliance domain, distributed, modeling, performance, remote, software, workflow automation"
apply_first,15,B,"Healthcare Retroactive Audits, Inc",Artificial Intelligence Engineer,"Remote, US",indeed,2026-06-08,"$78,961 - $95,093 yearly source: direct_data",https://www.indeed.com/viewjob?jk=91e434d979065618,compliance ai engineer,"ai, compliance domain, llm, remote, workflow automation"
apply_first,14,C,Nerdio,Senior Software Engineer,"Remote, US",indeed,2026-06-11,"$150,000 - $200,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=073c4c74175f6077,software engineer workflow automation,"evals, llm, modeling, performance, remote, senior, software, workflow automation"
apply_first,14,A,Saragossa,AI Systems Engineer - Physics-Informed AI Startup,,linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4421126973,ai systems engineer,"ai, physics, systems"
apply_first,14,A,Velocity Talent,Staff AI Engineer,"Remote, US",indeed,2026-06-13,"$130,000 - $198,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=fb2a2b03d193590a,llm rag engineer,"ai, llm, rag, remote, staff, workflow automation"
apply_first,14,B,Wipro,Legal Subject Matter Expert (SME),"Remote, US",indeed,2026-06-03,$70 - $100 hourly source: direct_data,https://www.indeed.com/viewjob?jk=97932a66b39b6909,compliance ai engineer,"compliance domain, llm, modeling, remote"
